set,collector_number,language,treatment,object_type,name,scryfall_id,layout,type_line,frame_effects,promo_types,source_finish_options,finish,physical_pairing,finish_detail
HOB,59,English,Default,card,Wizard's Staff,0de529a7-bdc5-4581-a169-1ad123bc099a,normal,Artifact — Equipment,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,59,English,Default,card,Wizard's Staff,0de529a7-bdc5-4581-a169-1ad123bc099a,normal,Artifact — Equipment,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,60,English,Default,card,Along the Crooked Way,3696d65c-fffd-4685-bb2d-e8769bf476e3,normal,Enchantment,enchantment,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,60,English,Default,card,Along the Crooked Way,3696d65c-fffd-4685-bb2d-e8769bf476e3,normal,Enchantment,enchantment,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,61,English,Default,card,"Azog, Moria's Ruin",135da718-affc-46ba-be57-c12c23b54dad,normal,Legendary Creature — Goblin Soldier,legendary,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,61,English,Default,card,"Azog, Moria's Ruin",135da718-affc-46ba-be57-c12c23b54dad,normal,Legendary Creature — Goblin Soldier,legendary,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,62,English,Default,card,Bilbo's Deadly Slice,17892c93-b9b2-4720-933b-998ed0200492,normal,Instant,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,62,English,Default,card,Bilbo's Deadly Slice,17892c93-b9b2-4720-933b-998ed0200492,normal,Instant,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,63,English,Default,card,Crude Bent Blade,fa8fd3c4-bd00-485d-80b1-2b67f5786fce,normal,Artifact — Equipment,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,63,English,Default,card,Crude Bent Blade,fa8fd3c4-bd00-485d-80b1-2b67f5786fce,normal,Artifact — Equipment,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,64,English,Default,card,Desolation Prowler,63c87009-ff1b-44b9-88b1-e26219094c67,normal,Creature — Wolf,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,64,English,Default,card,Desolation Prowler,63c87009-ff1b-44b9-88b1-e26219094c67,normal,Creature — Wolf,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,65,English,Default,card,"Down, Down to Goblin-town",b72e193c-e030-4936-9b79-c636eff750e1,saga,Enchantment — Saga,enchantment,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,65,English,Default,card,"Down, Down to Goblin-town",b72e193c-e030-4936-9b79-c636eff750e1,saga,Enchantment — Saga,enchantment,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,66,English,Default,card,Dreaded Bat-Cloud,67d52db5-597e-46d5-af39-c3a2de107d30,normal,Creature — Bat,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
HOB,66,English,Default,card,Dreaded Bat-Cloud,67d52db5-597e-46d5-af39-c3a2de107d30,normal,Creature — Bat,,universesbeyond,foil|nonfoil,foil,,traditional_foil_or_foil_unspecified
HOB,67,English,Default,card,Front Porch Sentries,07bfc803-e11b-47ab-9f25-0ace7e174200,normal,Creature — Goblin Soldier,,universesbeyond,foil|nonfoil,nonfoil,,nonfoil
